Tournament,Date,Team_1,Team_2,Score_1,Score_2,Game_Rank_Diff_USAU,Game_Wght_USAU,Is_Ignored_USAU,Team_Rank_Diff_USAU,Game_Rank_Diff_Windmill,Game_Wght_Windmill,Is_Ignored_Windmill,Team_Rank_Diff_Windmill,Game_Rank_Diff_Sigmoid,Game_Wght_Sigmoid,Is_Ignored_Sigmoid,Team_Rank_Diff_Sigmoid
Toms Tourney,2023-05-05,NL Women @ Toms Tourney,Germany U24 @ Toms Tourney,15,13,214.17926913507503,1.0,0,54.66,2,1,0,0.28,2,1,0,-0.07649933675189935
Toms Tourney,2023-05-05,NL Women @ Toms Tourney,Panthers Wroclaw - Women,12,11,125.0,1.0,0,93.09,1,1,0,1.2000000000000002,1,1,0,1.1340816854619113
Toms Tourney,2023-05-05,NL Women @ Toms Tourney,Panthers Wroclaw - Women,12,11,125.0,1.0,0,93.09,1,1,0,1.2000000000000002,1,1,0,1.1340816854619113
Toms Tourney,2023-05-05,NL Women @ Toms Tourney,Spain Women @ Toms Tourney,13,9,418.5661446562001,1.0,0,487.42999999999995,4,1,0,4.99,4,1,0,5.432794323651493
Toms Tourney,2023-05-05,Panthers Wroclaw - Women,GB U24 Women @ Toms Tourney,12,6,579.3107485100336,0.9733285267845752,0,265.04,6,1,0,2.9299999999999997,6,1,0,3.59117622290562
Toms Tourney,2023-05-05,Panthers Wroclaw - Women,German masters @ Toms Tourney,15,11,381.1647521399218,1.0,0,444.36999999999995,4,1,0,6.699999999999999,4,1,0,7.982360075446596
Toms Tourney,2023-05-05,Panthers Wroclaw - Women,Spain Women @ Toms Tourney,14,9,473.8676990361691,1.0,0,394.34,5,1,0,3.79,5,1,0,4.4197394951248015
Toms Tourney,2023-05-05,Reading Ultimate @ Toms Tourney,Vertigo @ Toms Tourney,15,5,600.0,1.0,0,600.0,10,1,0,10.0,10,1,0,9.999842029528253
Toms Tourney,2023-05-05,Shout,Belgian Women @ Toms Tourney,13,10,328.14240231865136,1.0,0,300.17,3,1,0,2.37,3,1,0,2.915192422827211
Toms Tourney,2023-05-05,Shout,Crazy Dogs,15,4,600.0,1.0,1,1207.81,11,1,0,16.92,11,1,0,13.950526722258871
Toms Tourney,2023-05-05,Shout,Czech Women @ Toms Tourney,14,10,398.70186369942724,1.0,0,460.47,4,1,0,3.6900000000000004,4,1,0,4.176736095526898
